City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
166,tessalit,20.1986,1.0114,304.35,10,0,5.18,ML,1667404041
167,boddam,57.4667,-1.7833,283.36,87,100,19.01,GB,1667404041
168,quthing,-30.4,27.7003,291.83,56,85,2.57,LS,1667404042
169,vestmannaeyjar,63.4427,-20.2734,277.7,87,75,3.09,IS,1667404042
170,guerrero negro,27.9769,-114.0611,293.02,75,94,3.04,MX,1667404043
171,baykit,61.67,96.37,271.92,93,100,2.89,RU,1667404043
172,kargil,34.5667,76.1,276.55,46,95,0.32,IN,1667404044
173,jatai,-17.8814,-51.7144,291.9,74,99,5.03,BR,1667404046
174,carutapera,-1.195,-46.02,304.24,58,99,3.19,BR,1667404046
175,chimoio,-19.1164,33.4833,297.07,78,75,2.84,MZ,1667404047
176,tiarei,-17.5333,-149.3333,296.16,92,100,7.9,PF,1667404048
177,pangody,65.85,74.4859,262.12,90,81,2.56,RU,1667404049
178,babag,7.7311,126.0708,296.69,97,100,1.01,PH,1667404050
179,sorong,-0.8833,131.25,300.8,78,100,2.55,ID,1667404003
180,san quintin,30.4833,-115.95,290.41,72,97,3.16,MX,1667404051
181,yar-sale,66.8333,70.8333,265.34,90,100,2.76,RU,1667404051
182,westport,41.1415,-73.3579,293.4,54,0,4.63,US,1667403920
183,marzuq,14.4,46.4667,294.42,67,10,3.46,YE,1667404052
184,enumclaw,47.2043,-121.9915,277.77,95,44,0.45,US,1667403836
185,berdigestyakh,62.0989,126.6992,251.13,100,98,1.74,RU,1667404052
186,tekkali,18.6167,84.2333,298.27,77,74,2.12,IN,1667404053
187,longyearbyen,78.2186,15.6401,274.06,86,75,0.51,SJ,1667403937
188,makakilo city,21.3469,-158.0858,297.42,84,0,2.06,US,1667404053
189,avarua,-21.2078,-159.775,296.18,73,40,5.66,CK,1667403971
190,peraiyur,9.7358,77.7896,295.95,89,100,1.34,IN,1667404054
191,umm lajj,25.0213,37.2685,298.87,53,0,5.3,SA,1667404054
192,bathsheba,13.2167,-59.5167,303.49,74,75,7.2,BB,1667404055
193,bredasdorp,-34.5322,20.0403,293.37,66,93,5.64,ZA,1667404055
194,manzhouli,49.6,117.4333,260.34,68,0,3.34,CN,1667404055
195,tygda,53.1167,126.3333,264.01,71,69,6.05,RU,1667404056
196,port elizabeth,-33.918,25.5701,298.2,86,0,11.83,ZA,1667404012
197,saint george,37.1041,-113.5841,289.23,36,0,4.02,US,1667404057
198,carnarvon,-24.8667,113.6333,294.61,63,0,6.5,AU,1667404058
199,goderich,43.7501,-81.7165,289.77,72,10,2.57,CA,1667404059
200,qaanaaq,77.484,-69.3632,258.85,78,97,3.85,GL,1667404059
201,pailon,-17.65,-62.75,296.97,16,1,7.04,BO,1667404060
202,lata,40.1629,-8.3327,290.88,64,98,0.84,PT,1667404060
203,pitimbu,-7.4706,-34.8086,304.48,58,68,4.49,BR,1667404061
204,price,39.5994,-110.8107,277.74,52,100,0.0,US,1667404061
205,provideniya,64.3833,-173.3,267.1,81,100,6.34,RU,1667404061
206,falun,60.6036,15.626,284.38,92,99,2.54,SE,1667404062
207,alyangula,-13.8483,136.4192,300.49,79,94,4.18,AU,1667404062
208,san patricio,28.017,-97.5169,295.07,80,82,5.39,US,1667404063
209,ossora,59.2353,163.0719,261.89,80,1,2.66,RU,1667404063
210,bereda,43.2686,-7.5406,287.82,77,80,2.01,ES,1667404063
211,darhan,49.4867,105.9228,267.88,69,0,2.62,MN,1667404064
212,antofagasta,-23.65,-70.4,290.75,59,25,4.04,CL,1667403832
213,tura,25.5198,90.2201,292.94,93,97,1.49,IN,1667404064
214,albert lea,43.648,-93.3683,291.24,59,0,4.63,US,1667404065
215,port said,31.2565,32.2841,296.14,64,0,4.12,EG,1667403783
216,hambantota,6.1241,81.1185,299.34,94,20,1.03,LK,1667404065
217,vaini,-21.2,-175.2,297.24,100,75,4.63,TO,1667404066
218,khatanga,71.9667,102.5,256.72,94,97,5.42,RU,1667404066
219,jutai,-5.1833,-68.9,296.71,48,100,3.14,BR,1667404067
220,lake city,30.1897,-82.6393,299.15,57,75,1.54,US,1667403960
221,laguna,38.421,-121.4238,282.75,88,40,3.6,US,1667404067
222,narsaq,60.9167,-46.05,268.27,73,3,2.29,GL,1667404068
223,upernavik,72.7868,-56.1549,262.39,55,81,3.53,GL,1667404068
224,paamiut,61.994,-49.6678,269.5,64,18,3.62,GL,1667404068
225,ponta do sol,32.6667,-17.1,296.49,85,79,0.7,PT,1667404069
226,arraial do cabo,-22.9661,-42.0278,296.07,64,100,6.17,BR,1667404069
227,beringovskiy,63.05,179.3167,271.16,77,100,9.5,RU,1667404070
228,rundu,-17.9333,19.7667,303.22,32,68,3.81,NA,1667404070
229,haflong,25.1833,93.0333,292.0,83,9,0.28,IN,1667404027
230,boa vista,2.8197,-60.6733,305.14,55,75,2.06,BR,1667404071
231,saint cloud,45.5608,-94.1625,292.06,57,57,6.71,US,1667404071
232,chimore,-16.9833,-65.1333,298.85,34,7,1.55,BO,1667404072
233,cherskiy,68.75,161.3,242.98,98,50,3.11,RU,1667404072
234,aleksandrovka,46.8383,32.7612,286.54,70,100,3.9,UA,1667404073
235,barra,-11.0894,-43.1417,299.22,67,100,2.85,BR,1667404073
236,yenagoa,4.9247,6.2642,302.6,68,100,2.59,NG,1667404073
237,vrangel,42.7297,133.0839,276.79,49,21,5.66,RU,1667404074
238,beyneu,45.3167,55.2,279.51,62,72,7.05,KZ,1667404074
239,damavand,35.7178,52.065,281.35,54,49,0.64,IR,1667404075
240,saldanha,-33.0117,17.9442,292.98,71,14,3.14,ZA,1667404075
241,nome,64.5011,-165.4064,266.19,58,0,6.69,US,1667404076
242,santa catarina de tepehuanes,25.35,-105.7333,290.87,25,0,1.57,MX,1667404076
243,walbrzych,50.7714,16.2843,284.85,75,62,3.03,PL,1667404076
244,ancud,-41.8697,-73.8203,290.46,63,1,1.54,CL,1667404077
245,turukhansk,65.8167,87.9833,252.87,100,93,2.07,RU,1667404078
246,vega de alatorre,20.0333,-96.6333,299.55,77,8,1.49,MX,1667404079
247,sibolga,1.7427,98.7792,297.74,87,100,1.4,ID,1667404079
248,laurel,39.0993,-76.8483,292.99,68,0,3.6,US,1667403847
249,wabana,47.6332,-52.9481,285.13,89,100,12.35,CA,1667404080
250,lompoc,34.6391,-120.4579,285.81,90,0,3.09,US,1667404080
251,sabha,27.0377,14.4283,294.93,31,100,3.03,LY,1667404080
252,abu samrah,35.3029,37.1841,293.66,36,8,0.52,SY,1667404081
253,stolin,51.8912,26.846,281.82,85,100,2.01,BY,1667404081
254,llano de piedra,7.6667,-80.5667,302.36,66,82,2.52,PA,1667404082
255,teahupoo,-17.8333,-149.2667,293.13,86,100,8.8,PF,1667404082
256,lucapa,-8.4192,20.7447,296.79,73,100,3.76,AO,1667404083
257,tyup,42.7276,78.3648,280.27,34,99,1.47,KG,1667404083
258,marshall,34.3834,-86.3333,293.92,67,0,0.0,US,1667404084
259,gasa,31.5,34.4667,295.31,53,0,3.25,PS,1667404084
260,avera,33.194,-82.5271,295.12,49,75,3.08,US,1667404086
261,solnechnyy,50.7214,136.6319,269.49,64,100,1.94,RU,1667404086
262,staunton,38.1496,-79.0717,290.9,82,0,0.45,US,1667404087
263,huntsville,34.7304,-86.5861,294.01,66,40,2.57,US,1667403540
264,esterhazy,50.65,-102.0843,273.62,54,84,1.79,CA,1667404087
265,pelym,61.0108,61.9978,275.24,98,100,4.27,RU,1667404088
266,smoky lake,54.1169,-112.4686,270.55,93,100,5.66,CA,1667403986
267,santiago,-33.4569,-70.6483,302.75,21,0,2.06,CL,1667403999
268,east london,-33.0153,27.9116,293.67,83,20,8.23,ZA,1667404088
269,lakatoro,-16.0999,167.4164,298.56,81,3,2.5,VU,1667404089
270,sobolevo,54.4299,31.8996,278.78,90,100,1.88,RU,1667404089
271,tonkino,57.3726,46.4629,273.92,97,100,5.28,RU,1667404090
272,upata,8.0086,-62.3989,303.17,52,95,2.65,VE,1667404090
273,te anau,-45.4167,167.7167,278.25,97,100,1.19,NZ,1667404091
274,shimoda,34.6667,138.95,290.71,73,0,1.78,JP,1667404092
275,salta,-24.7859,-65.4117,294.58,19,0,2.68,AR,1667404092
276,beloha,-25.1667,45.05,295.52,78,64,4.7,MG,1667404093
277,tuensang,26.2833,94.8333,287.58,63,2,1.53,IN,1667404093
278,luderitz,-26.6481,15.1594,291.11,73,98,2.55,NA,1667404094
279,komsomolskiy,40.4272,71.7189,285.55,87,75,2.06,UZ,1667404095
280,kalmunai,7.4167,81.8167,297.81,92,99,1.3,LK,1667404095
281,meulaboh,4.1363,96.1285,297.76,88,99,0.92,ID,1667404095
282,vila,42.0304,-8.1588,283.54,81,100,1.48,PT,1667404096
283,havelock,34.8791,-76.9013,293.68,79,40,5.14,US,1667403941
284,eydhafushi,5.1033,73.0708,300.72,75,45,5.42,MV,1667404096
285,cap malheureux,-19.9842,57.6142,297.3,69,5,3.58,MU,1667404097
286,miri,4.4148,114.0089,298.23,94,20,1.03,MY,1667404097
287,pochutla,15.7432,-96.4661,301.49,59,39,1.2,MX,1667404097
288,padang,-0.9492,100.3543,298.18,86,75,0.81,ID,1667403987
289,honiara,-9.4333,159.95,298.44,87,44,1.44,SB,1667404098
290,mandapeta,16.8667,81.9333,301.34,84,95,1.95,IN,1667404098
291,belmonte,-15.8631,-38.8828,299.55,76,100,2.88,BR,1667404099
292,cukai,4.25,103.4167,299.82,90,100,0.57,MY,1667404099
293,taoudenni,22.6783,-3.9836,305.93,9,4,5.87,ML,1667404099
294,port lincoln,-34.7333,135.8667,284.45,85,6,3.73,AU,1667404100
295,kaitangata,-46.2817,169.8464,282.18,98,100,2.87,NZ,1667404100
296,chapais,49.7834,-74.8492,273.03,50,18,2.3,CA,1667404101
297,taunggyi,20.7833,97.0333,287.97,85,18,0.58,MM,1667404101
298,worland,44.0169,-107.9554,287.41,34,11,7.15,US,1667403886
299,nantucket,41.2835,-70.0995,291.21,71,0,6.69,US,1667403938
300,lebu,-37.6167,-73.65,289.84,73,3,3.75,CL,1667404087
301,maragogi,-9.0122,-35.2225,301.8,61,98,5.53,BR,1667404102
302,le creusot,46.8071,4.4163,287.41,77,88,0.58,FR,1667404103
303,ukwa,21.9667,80.4667,289.99,68,0,1.32,IN,1667404103
304,grindavik,63.8424,-22.4338,278.12,87,75,9.26,IS,1667404104
305,qeshm,26.9581,56.2719,302.08,68,41,4.68,IR,1667404104
306,odweyne,9.4092,45.064,299.27,43,64,5.28,SO,1667404105
307,namuac,18.6109,121.1657,298.55,89,34,1.12,PH,1667404106
308,takoradi,4.8845,-1.7554,300.7,77,27,3.09,GH,1667403978
309,strezhevoy,60.7333,77.5889,274.25,99,100,1.74,RU,1667404106
310,andenes,69.3143,16.1194,281.14,76,40,3.6,NO,1667404107
311,saint peter,13.25,-59.6167,302.46,76,100,8.66,BB,1667404107
312,yecuatla,19.8667,-96.75,299.31,71,7,1.6,MX,1667404107
313,rocha,-34.4833,-54.3333,293.44,35,0,3.0,UY,1667404108
314,axim,4.8699,-2.2405,300.95,74,31,4.04,GH,1667404108
315,kavaratti,10.5669,72.642,301.52,67,13,4.93,IN,1667404109
316,inirida,3.8653,-67.9239,296.34,98,100,1.66,CO,1667404109
317,agirish,61.9247,63.0231,273.6,98,100,4.44,RU,1667404110
318,sokyryany,48.4475,27.4168,286.74,73,88,5.77,UA,1667404110
319,okhotsk,59.3833,143.3,269.96,72,100,3.79,RU,1667404111
320,eirunepe,-6.6603,-69.8736,296.53,44,99,2.82,BR,1667404111
321,luanda,-8.8368,13.2343,301.15,74,20,6.17,AO,1667404111
322,kazachinskoye,57.6953,93.2761,271.89,92,100,1.33,RU,1667404112
323,ronneby,56.21,15.276,284.43,100,100,3.6,SE,1667404112
324,formosa,-26.1775,-58.1781,293.14,40,0,3.6,AR,1667404113
325,yining,29.0361,114.5636,286.31,71,0,0.5,CN,1667404113
326,qaqortoq,60.7167,-46.0333,269.18,72,3,2.17,GL,1667404114
327,sao felix do xingu,-6.6447,-51.995,302.0,69,82,1.48,BR,1667404114
328,sandakan,5.8402,118.1179,298.97,88,40,1.54,MY,1667404115
329,zabaykalsk,49.6333,117.3167,260.07,68,0,3.19,RU,1667404115
330,khani,41.9563,42.9566,278.91,86,97,0.52,GE,1667404115
331,fairbanks,64.8378,-147.7164,263.2,80,75,3.09,US,1667403996
332,praia da vitoria,38.7333,-27.0667,293.01,100,75,7.51,PT,1667404116
333,malinovoye ozero,51.6753,79.7825,279.07,60,57,5.76,RU,1667404116
334,salalah,17.0151,54.0924,301.2,69,0,3.09,OM,1667403817
335,micheweni,-4.9667,39.8333,298.15,81,7,3.56,TZ,1667404117
336,alice springs,-23.7,133.8833,285.9,38,0,3.09,AU,1667404117
337,diofior,14.1833,-16.6667,307.96,27,0,1.68,SN,1667404118
338,ketchikan,55.3422,-131.6461,270.41,86,20,0.0,US,1667404118
339,egvekinot,66.3167,-179.1667,256.27,93,92,3.82,RU,1667404119
340,samarai,-10.6167,150.6667,300.23,81,33,1.76,PG,1667404120
341,san carlos,9.6612,-68.5827,301.99,72,100,2.31,VE,1667404032
342,falam,22.9167,93.6833,286.71,90,0,0.91,MM,1667404120
343,cayenne,4.9333,-52.3333,304.17,66,75,4.63,GF,1667404121
344,kushnarenkovo,55.105,55.3508,273.13,78,66,5.37,RU,1667404121
345,mahibadhoo,3.7833,72.9667,300.97,77,8,5.67,MV,1667404121
346,sonoita,31.85,-112.8333,293.28,54,37,7.87,MX,1667404122
347,iquique,-20.2208,-70.1431,291.17,63,13,3.49,CL,1667404122
348,farafangana,-22.8167,47.8333,296.79,83,27,6.18,MG,1667404122
349,brawley,32.9787,-115.5303,292.93,55,0,8.75,US,1667403961
350,iracoubo,5.4802,-53.2011,301.89,70,81,3.44,GF,1667404128
351,assiniboia,49.6334,-105.9845,273.05,100,61,4.63,CA,1667404129
352,do gonbadan,30.3586,50.7981,299.2,41,20,0.0,IR,1667404129
353,hualmay,-11.0964,-77.6139,292.75,71,96,4.15,PE,1667404131
354,camana,-16.6228,-72.7111,293.43,72,77,4.49,PE,1667404131
355,porto novo,6.4965,2.6036,304.05,66,8,4.29,BJ,1667404133
356,asau,46.4333,26.4,285.66,67,82,1.19,RO,1667404134
357,vardo,70.3705,31.1107,276.14,93,100,11.83,NO,1667404037
358,zhigalovo,54.8097,105.1578,267.45,55,11,0.79,RU,1667404135
359,nayoro,44.3506,142.4578,278.44,90,100,4.41,JP,1667404135
360,katangli,51.7102,143.2326,272.8,70,100,4.07,RU,1667404136
361,ilulissat,69.2167,-51.1,265.16,49,0,1.54,GL,1667404136
362,boyuibe,-20.4167,-63.2833,296.26,14,1,4.69,BO,1667404138
363,topolobampo,25.6,-109.05,292.1,82,40,3.09,MX,1667404138
364,castelldefels,41.2779,1.9703,296.03,68,20,3.09,ES,1667404138
365,tayga,56.06,85.6197,269.66,84,65,1.77,RU,1667404139
366,winsum,53.33,6.5208,286.46,70,10,6.16,NL,1667404139
367,alofi,-19.0595,-169.9187,297.09,88,72,4.12,NU,1667404140
